screen_name,created_at_month,created_at_day,created_at_year,country,location,friends_count,followers_count,statuses_count,favourites_count,favourited_count,dob_day,dob_year,dob_month,gender,mobile_favourites_count,mobile_favourited_count,education,experience,age,race,wage,retweeted_count,retweet_count,height
CNN,2,9,2007,USA,Miami Florida,1087,22187643,60246,1122,105005,29,1999,4,female,0,0,8,0,29,white,16.31,1,30,156
osbrFe,11,21,2009,India,Mumbai,5210,6692814,93910,3825,40487,24,1991,10,female,0,5032191,15,0,0,white,17.91,1,6,162
WSJ,4,1,2007,India,Bangalore,1015,6257020,118465,1143,87968,4,1997,3,male,0,0,9,0,32,white,15.71,2,65,168
ninc,3,24,2007,USA,North Carolina,338,3433218,78082,0,25943,22,1998,8,male,0,0,9,44,40,white,7,0,8,180
nssubies,4,23,2009,USA,Nevada,641,2929559,93892,226,32589,9,1963,11,female,0,0,13,24,45,white,17.87,1,7,162
BNCC,2,9,2009,England,Coventry,917,2540842,59397,2122,19760,1,1995,1,female,0,0,15,21,14,white,14.10839469,2,64,158
om,7,15,2006,USA,Virginia,1574,1960373,41023,20160,13558,2,1999,11,female,0,0,14,31,27,white,8.5,1,13,160
hocbFesre,5,23,2008,Brazil,Brazil,16300,1934803,62178,15,25084,6,1986,10,male,0,1934803,10,0,31,white,20.38,2,14,178
oYoha,1,23,2009,USA,Ohio,8316,1855827,56057,540,8732,15,1991,2,female,0,0,11,27,34,asian,11.71,0,15,156
TF,1,13,2009,USA,Dallas TX,640,1697620,82912,3,24515,26,1986,9,male,0,0,12,20,40,arab,34.96,0,10,173
sxetewtce,1,30,2009,USA,West Coast,49507,1493392,1741,27,7790,30,1998,12,male,0,0,12,16,14,asian,33.87,1,17,180
SIA,9,12,2007,Canada,Vancouver Canada,50,1338771,88676,21,13550,11,1993,5,male,0,1338771,13,14,30,white,46.09809168,0,12,172
raWMakehc,1,11,2007,Canada,Toronto Ontario,199,1337345,112922,2103,18618,16,1999,1,male,0,0,14,0,28,white,35.2,5,90,183
sBiueRzet,6,13,2008,United Kingdom,United Kingdom,235,1223988,84933,5,16564,25,1985,10,male,0,0,11,0,36,white,21.2,1,3,167
teanTser1,2,21,2009,England,Liverpool,3314,1082603,42694,885,556,19,1991,9,male,0,0,11,25,47,arab,9,0,1,171
nbiessWuS,4,1,2009,USA,Cleveland Ohio,231,1043639,55310,0,11313,28,1959,8,female,0,784691,12,3,31,white,28.35,4,237,159
ssbeunsdn,2,11,2009,USA,Las Vegas,167,1033956,204313,209,19399,1,1994,1,male,0,0,12,17,36,white,6,0,21,176
rskhiares,5,4,2007,United Kingdom,UK,1233,1023722,64884,49,12259,11,1996,8,male,0,0,10,0,41,latino,8,0,1,163
llkhrdotc,10,18,2008,USA,Boulder CO,225,1021870,4951,73,125,11,1972,1,male,0,0,13,4,32,white,27.81689904,0,7,176
NoynNeCM,9,8,2008,USA,Tampa Florida,890,1015155,74887,163,16748,1,1978,1,male,0,0,12,21,38,indian,21.03,2,102,182
jmrarcmei,3,25,2008,USA,Denver CO,316,853368,51549,9128,10143,1,1988,1,male,0,0,14,14,24,white,39.3,2,55,172
iwkg2rmhn,1,25,2009,USA,Nebraska,565975,802492,105735,54716,13461,11,1985,9,male,0,0,10,23,48,white,27.11,0,79,170
BOCE,10,17,2008,USA,Stamford CT,2406,729120,18290,12,2909,25,1973,10,male,0,0,12,16,17,hispanic,74.27622374,0,57,172
ncohnFeao,1,26,2009,USA,Birmingham,1611,623299,67414,1123,7730,8,1990,8,female,0,0,19,5,22,asian,17.18,3,203,168
coMdyrtEd,3,1,2009,Canada,Montreal,660549,601203,169015,342,5520,20,1988,2,male,0,0,10,22,28,white,22.2,0,5,175
YSomDeTnA,8,7,2008,Spain,Madrid Spain,1408,511422,57128,1072,5981,5,1981,7,female,0,0,17,0,52,white,16.75,6,27,165
irRidekoo,11,16,2009,Kenya,Nairobi,383784,501573,144025,34438,2147,4,1994,3,female,377123,0,16,0,28,white,15.45,1,5,166
JShealthW,4,1,2009,USA,Fort Worth TX,23,484916,10754,15,6381,22,1959,10,male,0,0,9,0,46,white,19.46,5,27,177
